City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,montevideo,-34.8335,-56.1674,16.57,100,100,5.14,UY,1699663741
1,ushuaia,-54.8,-68.3,5.81,71,100,7.2,AR,1699663624
2,nemuro,43.3236,145.575,4.51,64,45,10.67,JP,1699663806
3,bel ombre,-4.6167,55.4167,27.91,78,40,2.06,SC,1699663806
4,ribeira grande,38.5167,-28.7,20.43,96,17,6.71,PT,1699663806
5,adamstown,-25.066,-130.1015,22.87,79,1,4.77,PN,1699663807
6,phalodi,27.1333,72.3667,20.62,52,0,3.76,IN,1699663807
7,college,64.8569,-147.8028,-7.03,91,100,2.06,US,1699663807
8,edinburgh of the seven seas,-37.0676,-12.3116,15.0,91,100,11.12,SH,1699663705
9,dondo,-19.6094,34.7431,24.73,70,100,1.45,MZ,1699663807
10,arhavi,41.3492,41.3069,13.95,62,63,4.27,TR,1699663808
11,yellowknife,62.456,-114.3525,2.45,98,100,1.54,CA,1699663808
12,acarau,-2.8856,-40.12,26.4,79,1,8.39,BR,1699663808
13,hawaiian paradise park,19.5933,-154.9731,26.69,77,75,2.06,US,1699663715
14,bethel,41.3712,-73.414,9.17,72,0,1.54,US,1699663809
15,cockburn town,21.4612,-71.1419,27.98,74,40,6.69,TC,1699663567
16,uryupinsk,50.8047,42.0138,1.45,90,15,1.9,RU,1699663810
17,howrah,22.5892,88.3103,22.0,83,20,1.54,IN,1699663765
18,bani suwayf,29.0744,31.0979,21.67,67,100,3.3,EG,1699663728
19,khargone,21.8167,75.6,24.83,48,79,0.3,IN,1699663810
20,dakhla,23.6848,-15.958,19.98,82,5,7.52,EH,1699663810
21,disina,11.4814,9.919,23.06,26,91,1.53,NG,1699663811
22,blackmans bay,-43.0167,147.3167,17.07,81,94,6.28,AU,1699663811
23,akureyri,65.6835,-18.0878,-5.04,86,0,0.51,IS,1699663811
24,ramadi,33.4226,43.3058,21.73,36,8,3.04,IQ,1699663593
25,tabou,4.423,-7.3528,24.81,90,69,2.69,CI,1699663811
26,albany,42.6001,-73.9662,8.23,64,71,2.4,US,1699663724
27,manta,-0.95,-80.7333,24.88,69,75,6.69,EC,1699663540
28,ribeira brava,32.65,-17.0667,20.95,77,65,1.62,PT,1699663812
29,kuqa,41.7278,82.9364,6.61,63,98,0.51,CN,1699663812
30,puerto ayora,-0.7393,-90.3518,23.64,94,28,4.02,EC,1699663812
31,port-aux-francais,-49.35,70.2167,3.04,96,100,15.88,TF,1699663812
32,ngereklmadel,7.4883,134.4856,29.05,84,75,2.06,PW,1699663812
33,grytviken,-54.2811,-36.5092,1.99,85,41,5.96,GS,1699663705
34,stanthorpe,-28.6667,151.95,25.33,39,0,1.11,AU,1699663813
35,sao joao da barra,-21.6403,-41.0511,24.05,90,0,0.69,BR,1699663760
36,aksu,41.1231,80.2644,4.68,80,15,3.31,CN,1699663813
37,iskateley,67.6803,53.1512,-8.88,93,99,3.13,RU,1699663759
38,cascais,38.6979,-9.4215,18.98,93,17,3.13,PT,1699663813
39,chonchi,-42.6128,-73.8092,10.56,94,100,5.8,CL,1699663612
40,midvagur,62.0511,-7.1939,4.46,81,75,1.03,FO,1699663814
41,bredasdorp,-34.5322,20.0403,17.91,71,100,3.55,ZA,1699663814
42,utrik,11.2278,169.8474,27.73,82,100,9.55,MH,1699663724
43,atafu village,-8.5421,-172.5159,29.04,75,5,4.31,TK,1699663814
44,puerto natales,-51.7236,-72.4875,5.06,94,100,2.27,CL,1699663593
45,i-n-salah,27.1935,2.4607,21.94,38,5,5.82,DZ,1699663815
46,vorkuta,67.5,64.0,-15.15,100,92,2.54,RU,1699663815
47,hermanus,-34.4187,19.2345,17.58,76,100,2.08,ZA,1699663815
48,richards bay,-28.783,32.0377,19.81,83,0,7.49,ZA,1699663815
49,hamilton,39.1834,-84.5333,12.07,49,0,4.63,US,1699663744
50,dalandzadgad,43.5708,104.425,-9.0,27,0,4.33,MN,1699663815
51,geraldton,-28.7667,114.6,24.23,31,75,6.69,AU,1699663816
52,sisimiut,66.9395,-53.6735,-6.23,84,89,5.3,GL,1699663816
53,eynesil,41.0645,39.1438,16.51,68,100,4.38,TR,1699663816
54,papatowai,-46.5619,169.4708,18.3,39,0,1.57,NZ,1699663816
55,jamestown,42.097,-79.2353,8.77,86,20,5.14,US,1699663816
56,blenheim,-41.516,173.9528,17.51,71,1,1.34,NZ,1699663817
57,west island,-12.1568,96.8225,26.99,78,59,5.14,CC,1699663818
58,chengde,40.9725,117.9361,-3.22,35,0,2.73,CN,1699663818
59,katsuura,35.1333,140.3,14.7,68,100,8.19,JP,1699663818
60,chipinge,-20.1883,32.6236,14.13,91,40,2.39,ZW,1699663819
61,port mathurin,-19.6833,63.4167,24.83,79,9,4.96,MU,1699663819
62,jayapura,-2.5333,140.7,31.66,71,100,2.9,ID,1699663819
63,greymouth,-42.4667,171.2,15.57,62,1,3.34,NZ,1699663658
64,borogontsy,62.6683,131.1683,-28.08,96,100,0.64,RU,1699663820
65,stanley,54.868,-1.6985,4.6,92,40,4.12,GB,1699663717
66,cuito,-12.3833,16.9333,16.35,90,100,1.39,AO,1699663821
67,avarua,-21.2078,-159.775,26.03,89,75,3.6,CK,1699663821
68,bilibino,68.0546,166.4372,-27.25,100,99,1.22,RU,1699663821
69,udachny,66.4167,112.4,-10.22,67,100,4.89,RU,1699663713
70,waitangi,-43.9535,-176.5597,12.12,77,69,1.34,NZ,1699663822
71,aswan,24.0934,32.907,28.61,47,0,3.09,EG,1699663822
72,prince rupert,54.3161,-130.3201,9.83,85,100,9.77,CA,1699663801
73,san luis,-33.295,-66.3356,17.19,92,82,7.56,AR,1699663822
74,east london,-33.0153,27.9116,19.79,88,100,4.26,ZA,1699663728
75,harstad,68.799,16.5293,0.34,96,10,1.79,NO,1699663823
76,south bay,26.664,-80.7162,26.12,78,100,3.31,US,1699663823
77,invercargill,-46.4,168.35,20.57,37,0,2.68,NZ,1699663662
78,thompson,55.7435,-97.8558,-0.91,93,100,4.12,CA,1699663823
79,ridder,50.355,83.5133,0.43,90,100,2.04,KZ,1699663824
80,ilulissat,69.2167,-51.1,-5.99,68,100,7.2,GL,1699663824
81,georgetown,5.4112,100.3354,27.19,92,20,1.03,MY,1699663824
82,ust-tsilma,65.441,52.1498,-5.22,97,100,0.45,RU,1699663825
83,gamba,-2.65,10.0,23.99,94,100,2.63,GA,1699663825
84,whitehorse,60.7161,-135.0538,-0.5,100,100,0.0,CA,1699663825
85,port alfred,-33.5906,26.891,18.43,89,43,2.24,ZA,1699663826
86,lihue,21.9789,-159.3672,28.58,74,75,6.17,US,1699663826
87,alaghsas,17.0187,8.0168,25.63,17,100,4.5,NE,1699663826
88,usinsk,65.9939,57.5281,-5.52,81,100,2.24,RU,1699663766
89,lubang,13.8584,120.124,28.13,76,100,7.22,PH,1699663826
90,constantia,44.1833,28.65,11.5,82,100,5.53,RO,1699663827
91,arraial do cabo,-22.9661,-42.0278,22.98,94,20,1.03,BR,1699663570
92,weno,7.4515,151.8468,28.54,74,100,6.12,FM,1699663827
93,seven pagodas,12.6264,80.1722,26.14,77,79,4.49,IN,1699663827
94,havre,49.5833,0.3333,9.87,76,75,6.69,FR,1699663827
95,nguigmi,14.2495,13.1092,27.08,25,87,4.51,NE,1699663827
96,fougamou,-1.2154,10.5838,23.01,100,100,0.59,GA,1699663828
97,viqueque,-8.8673,126.3658,31.35,46,7,2.5,TL,1699663828
98,sucre,-19.0333,-65.2627,19.91,45,94,3.03,BO,1699663828
99,tiksi,71.6872,128.8694,-13.3,88,100,9.21,RU,1699663717
100,qarah bagh,34.9402,61.7759,12.42,37,98,2.5,AF,1699663828
101,lodwar,3.1191,35.5973,27.48,52,100,5.7,KE,1699663828
102,mar del plata,-38.0023,-57.5575,15.53,90,100,16.09,AR,1699663748
103,yuzhno-kurilsk,44.0306,145.8556,5.76,88,100,7.25,RU,1699663828
104,iqaluit,63.7506,-68.5145,-8.15,79,100,3.6,CA,1699663829
105,margaret river,-33.95,115.0667,17.36,53,18,4.87,AU,1699663829
106,selfoss,63.9331,-20.9971,1.14,77,98,2.59,IS,1699663829
107,pechora,65.1472,57.2244,-4.52,97,95,1.79,RU,1699663829
108,taoudenni,22.6783,-3.9836,23.83,17,0,3.37,ML,1699663725
109,las terrenas,19.311,-69.5428,24.79,82,100,5.14,DO,1699663829
110,kavaratti,10.5669,72.642,28.21,75,65,2.7,IN,1699663830
111,raja,8.4596,25.678,22.62,85,100,1.1,SS,1699663830
112,praia da vitoria,38.7333,-27.0667,21.14,94,75,10.02,PT,1699663830
113,gilgit,35.9221,74.3087,6.36,54,1,2.05,PK,1699663830
114,kesinga,20.2,83.2333,18.77,72,15,0.47,IN,1699663830
115,uturoa,-16.7333,-151.4333,27.06,81,100,5.24,PF,1699663831
116,tara,56.8944,74.371,1.73,98,100,2.41,RU,1699663831
117,bonito,-21.1211,-56.4819,29.62,37,99,1.36,BR,1699663831
118,ambikapur,23.1167,83.2,17.51,57,0,1.21,IN,1699663831
119,mili,6.0815,171.735,28.16,82,100,8.8,MH,1699663831
120,tidjikja,18.5564,-11.4271,22.92,11,0,4.19,MR,1699663831
121,hobyo,5.3505,48.5268,24.57,90,100,5.15,SO,1699663832
122,kurumkan,54.3,110.3,-13.26,83,97,1.79,RU,1699663832
123,maintirano,-18.0667,44.0167,24.91,76,2,4.41,MG,1699663832
124,muisne,0.6,-80.0333,24.96,82,100,4.05,EC,1699663832
125,isafjordur,66.0755,-23.124,0.95,79,99,1.52,IS,1699663723
126,macau,22.2006,113.5461,26.85,83,40,5.66,MO,1699663833
127,enewetak,11.3474,162.3373,28.65,75,99,8.23,MH,1699663833
128,al bahah,20.0129,41.4677,12.68,55,27,3.79,SA,1699663833
129,alice springs,-23.7,133.8833,31.75,27,0,2.57,AU,1699663833
130,yelizovo,53.1873,158.3805,1.08,100,75,2.0,RU,1699663833
131,xai-xai,-25.0519,33.6442,18.49,83,0,3.88,MZ,1699663833
132,villa gesell,-37.2639,-56.973,15.03,81,100,7.57,AR,1699663834
133,yeppoon,-23.1333,150.7333,28.88,59,29,4.73,AU,1699663834
134,aykhal,66.0,111.5,-8.16,59,100,9.96,RU,1699663834
135,kokstad,-30.5472,29.4241,16.99,42,11,2.57,ZA,1699663834
136,morant bay,17.8815,-76.4093,30.79,84,17,4.77,JM,1699663834
137,mugia,43.1041,-9.2179,16.62,97,100,9.15,ES,1699663834
138,qaqortoq,60.7167,-46.0333,-7.12,58,68,4.45,GL,1699663834
139,crest,44.7284,5.0272,9.68,82,86,1.01,FR,1699663835
140,el jadid,33.2549,-8.506,19.47,83,0,4.97,MA,1699663835
141,blythe,33.6103,-114.5964,24.25,9,0,3.09,US,1699663835
142,bozeman,45.6796,-111.0386,6.68,58,100,5.66,US,1699663796
143,wailua homesteads,22.0669,-159.378,28.24,80,75,6.17,US,1699663836
144,palikir - national government center,6.9248,158.1611,29.47,74,100,3.09,FM,1699663836
145,langen,49.9933,8.6728,8.18,92,75,3.6,DE,1699663836
146,ust-nera,64.5667,143.2,-28.71,96,55,1.81,RU,1699663710
147,capelinha,-17.6914,-42.5158,19.73,51,8,2.01,BR,1699663667
148,tralee,52.2704,-9.7026,7.41,86,65,2.27,IE,1699663836
149,aoulef,26.9667,1.0833,23.13,32,0,4.77,DZ,1699663837
150,antsiranana,-12.2787,49.2917,24.03,90,19,1.84,MG,1699663837
151,klyuchi,52.2667,79.1667,3.26,87,99,4.82,RU,1699663734
152,vorgashor,67.5833,63.95,-15.4,100,94,2.35,RU,1699663837
153,itoman,26.1247,127.6694,25.01,73,75,6.17,JP,1699663838
154,tadine,-21.55,167.8833,23.85,67,99,8.92,NC,1699663838
155,vung tau,10.346,107.0843,27.74,79,100,6.39,VN,1699663636
156,howard springs,-12.497,131.047,32.12,70,19,1.84,AU,1699663705
157,tual,-5.6667,132.75,27.89,78,58,4.65,ID,1699663838
158,tete,-16.1564,33.5867,25.08,65,75,2.68,MZ,1699663788
159,kismayo,-0.3582,42.5454,26.78,83,96,2.77,SO,1699663838
160,takoradi,4.8845,-1.7554,25.64,90,64,3.8,GH,1699663838
161,xincheng,33.6333,115.1833,4.9,66,100,5.81,CN,1699663838
162,isna,25.2934,32.554,27.01,47,97,1.32,EG,1699663839
163,punta arenas,-53.15,-70.9167,9.06,66,75,7.72,CL,1699663554
164,san andres,12.5847,-81.7006,29.01,84,20,5.14,CO,1699663839
165,kota kinabalu,5.9749,116.0724,26.99,83,20,0.51,MY,1699663678
166,al kharijah,25.4514,30.5464,24.98,39,100,4.01,EG,1699663839
167,longyearbyen,78.2186,15.6401,-10.09,73,75,1.54,SJ,1699663840
168,port elizabeth,-33.918,25.5701,18.51,84,0,13.38,ZA,1699663725
169,tazacorte,28.629,-17.9293,21.54,73,40,4.63,ES,1699663752
170,cam ranh,11.9214,109.1591,28.98,84,20,1.54,VN,1699663841
171,chibougamau,49.9168,-74.3659,-6.21,93,100,3.09,CA,1699663842
172,wuwei,37.9281,102.6414,-1.85,40,0,0.66,CN,1699663842
173,hithadhoo,-0.6,73.0833,26.91,84,30,6.5,MV,1699663709
174,ulanhot,46.0833,122.0833,-6.72,40,4,4.96,CN,1699663842
175,namibe,-15.1961,12.1522,19.1,82,78,1.77,AO,1699663843
176,saipan,15.1355,145.701,30.39,74,40,8.23,MP,1699663843
177,ketchikan,55.3422,-131.6461,7.26,87,100,7.72,US,1699663843
178,pisco,-13.7,-76.2167,19.03,82,0,6.69,PE,1699663843
179,parintins,-2.6283,-56.7358,29.38,43,0,1.1,BR,1699663843
180,fale old settlement,-9.3852,-171.2468,28.85,75,50,4.5,TK,1699663843
181,nieuw amsterdam,5.8833,-55.0833,29.09,83,20,1.03,SR,1699663843
182,detroit lakes,46.8172,-95.8453,-0.64,87,100,2.06,US,1699663694
183,afaahiti,-17.75,-149.2833,28.93,83,100,4.81,PF,1699663844
184,kodiak,57.79,-152.4072,2.73,52,20,6.17,US,1699663844
185,ritchie,-29.038,24.6028,25.38,26,97,4.95,ZA,1699663844
186,nagai,38.1036,140.035,7.34,79,70,5.8,JP,1699663844
187,votorantim,-23.5467,-47.4378,21.28,92,18,3.17,BR,1699663844
188,egilsstadir,65.2653,-14.3948,-6.05,86,0,2.57,IS,1699663844
189,lebu,-37.6167,-73.65,11.36,81,100,9.18,CL,1699663844
190,sitangkai,4.6628,119.3928,27.94,77,48,2.11,PH,1699663844
191,chernomorskoye,45.5039,32.6997,10.47,76,100,5.67,UA,1699663845
192,jalai nur,49.45,117.7,-11.85,80,100,4.4,CN,1699663845
193,lukolela,-1.0605,17.1821,21.69,99,100,1.14,CD,1699663845
194,tolanaro,-25.0319,46.9987,18.04,88,40,3.09,MG,1699663845
195,la passe,45.5549,-0.8967,9.99,72,100,3.26,FR,1699663845
196,st. john's,47.5649,-52.7093,3.32,89,100,7.72,CA,1699663547
197,north bend,43.4065,-124.2243,11.76,80,100,1.75,US,1699663845
198,askoy,60.4092,5.226,2.16,80,100,1.03,NO,1699663845
199,waddan,29.1614,16.139,20.15,35,0,2.6,LY,1699663846
200,concordia,-31.393,-58.0209,20.99,94,62,8.49,AR,1699663846
201,harper,4.375,-7.7169,24.91,89,76,3.18,LR,1699663846
202,dedovichi,57.5517,29.9502,5.02,85,100,3.85,RU,1699663846
203,okha,53.5739,142.9478,-3.8,76,100,7.58,RU,1699663846
204,praia,14.9215,-23.5087,25.3,65,20,6.17,CV,1699663846
205,ejura,7.3856,-1.3562,23.82,89,98,1.89,GH,1699663846
206,amga,60.8953,131.9608,-25.71,99,100,0.46,RU,1699663846
207,kununurra,-15.7667,128.7333,31.99,62,11,3.6,AU,1699663702
208,la sarre,48.8002,-79.1996,-3.81,93,100,3.58,CA,1699663846
209,castillos,-34.1667,-53.8333,15.2,94,100,8.34,UY,1699663847
210,borovskoy,53.8,64.15,4.96,89,100,4.74,KZ,1699663847
211,pali,25.7667,73.3333,19.24,28,0,2.11,IN,1699663847
212,cannonvale,-20.2833,148.7,25.66,63,71,5.73,AU,1699663847
213,san antonio de pale,-1.4014,5.6325,25.98,84,99,5.53,GQ,1699663847
214,kitimat,54.0524,-128.6534,3.21,63,100,0.45,CA,1699663847
215,salalah,17.0151,54.0924,26.05,89,40,1.03,OM,1699663847
216,laguna,38.421,-121.4238,19.16,42,0,2.57,US,1699663746
217,ingeniero guillermo n. juarez,-23.9,-61.85,39.05,21,100,9.14,AR,1699663847
218,banda aceh,5.5577,95.3222,26.74,82,100,4.18,ID,1699663847
219,luderitz,-26.6481,15.1594,16.25,88,9,4.95,NA,1699663848
220,papao,-17.75,-149.55,29.82,75,89,3.08,PF,1699663848
221,broken hill,-31.95,141.4333,33.21,21,16,5.28,AU,1699663848
222,coquimbo,-29.9533,-71.3436,15.85,94,100,5.14,CL,1699663397
223,jatai,-17.8814,-51.7144,27.55,26,62,2.57,BR,1699663848
224,kara,9.5511,1.1861,24.03,55,100,1.71,TG,1699663848
225,tabas,33.5959,56.9244,15.12,33,29,1.03,IR,1699663848
226,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,98,75,2.0,RU,1699663848
227,shingu,33.7333,135.9833,14.26,65,100,2.42,JP,1699663848
228,chulym,55.0997,80.9572,0.12,95,95,3.33,RU,1699663848
229,livingstone,-17.8419,25.8543,24.17,44,64,3.48,ZM,1699663849
230,kayangel,8.0823,134.7173,29.01,77,96,6.72,PW,1699663849
231,caen,49.0833,-0.4167,7.12,87,0,5.66,FR,1699663849
232,yangquan,37.8575,113.5633,-0.45,59,26,1.0,CN,1699663849
233,haiku-pauwela,20.9219,-156.3051,29.01,56,40,8.75,US,1699663849
234,shetpe,44.1667,52.1167,6.33,76,4,3.92,KZ,1699663849
235,emerald,-23.5333,148.1667,28.52,42,9,3.6,AU,1699663849
236,ceeldheer,3.8488,47.1806,25.45,86,100,3.61,SO,1699663754
237,saint-pierre,-21.3393,55.4781,23.09,94,100,4.12,RE,1699663849
238,nar'yan-mar,67.6713,53.087,-8.83,93,99,3.13,RU,1699663849
239,kingston,17.997,-76.7936,30.53,77,20,8.75,JM,1699663774
240,olonkinbyen,70.9221,-8.7187,0.71,80,100,3.85,SJ,1699663850
241,ishinomaki,38.4167,141.3,11.0,60,26,10.87,JP,1699663850
242,ocean city,39.2776,-74.5746,8.01,91,0,2.24,US,1699663850
243,progreso,21.2833,-89.6667,26.17,83,93,6.35,MX,1699663688
244,minas de marcona,-15.2119,-75.1103,15.41,86,68,5.33,PE,1699663850
245,zapala,-38.8992,-70.0544,9.64,49,0,12.64,AR,1699663850
246,crane,31.3974,-102.3501,12.28,55,100,3.58,US,1699663850
247,bokhan,53.153,103.7714,-17.1,97,9,1.08,RU,1699663850
248,masterton,-40.9597,175.6575,14.94,31,9,0.96,NZ,1699663731
249,tura,25.5198,90.2201,18.2,89,0,1.54,IN,1699663732
250,neftcala,39.3742,49.2472,15.98,60,100,5.49,AZ,1699663851
251,bodo,67.28,14.405,-1.79,73,0,6.69,NO,1699663851
252,magadan,59.5667,150.8,-14.29,75,24,4.68,RU,1699663727
253,kuala terengganu,5.3302,103.1408,25.97,100,40,1.03,MY,1699663851
254,kudahuvadhoo,2.6708,72.8944,27.25,81,100,4.06,MV,1699663851
255,argo,37.6333,22.7333,13.77,85,95,1.21,GR,1699663768
256,gadzhiyevo,69.2551,33.3362,-8.66,97,61,3.4,RU,1699663741
257,kolyvan',55.3053,82.7391,1.79,97,100,2.69,RU,1699663851
258,vernon,50.2581,-119.2691,8.34,70,40,0.51,CA,1699663851
259,vila do maio,15.1333,-23.2167,25.44,68,93,5.66,CV,1699663851
260,posto fiscal rolim de moura,-13.0833,-62.2667,27.93,60,10,1.15,BR,1699663852
261,maposeni,-10.5833,35.4,22.34,64,81,2.03,TZ,1699663852
262,corpus christi,27.8006,-97.3964,16.66,90,100,7.2,US,1699662995
263,newnham,-41.3833,147.1333,23.53,60,75,4.63,AU,1699663852
264,yur'yevets,57.3201,43.1041,2.98,87,100,3.54,RU,1699663852
265,hasaki,35.7333,140.8333,13.22,63,100,10.96,JP,1699663852
266,wainwright,52.839,-110.8572,1.01,65,96,3.78,CA,1699663852
267,freeport,40.6576,-73.5832,9.98,74,0,7.2,US,1699663852
268,chany,55.3121,76.7647,0.94,99,100,3.15,RU,1699663852
269,nyazepetrovsk,56.0531,59.6028,4.43,96,100,3.13,RU,1699663852
270,susuman,62.7833,148.1667,-26.05,98,93,0.85,RU,1699663853
271,fomboni,-12.28,43.7425,27.2,78,24,4.29,KM,1699663853
272,severo-yeniseyskiy,60.3725,93.0408,-14.12,94,95,1.79,RU,1699663853
273,pokhara,28.2333,83.9833,15.08,54,0,2.81,NP,1699663743
274,sidi ifni,29.3797,-10.173,16.86,68,0,2.57,MA,1699663853
275,maardu,59.4767,25.025,8.34,96,100,3.6,EE,1699663853
276,staritsa,56.5075,34.9354,4.21,89,100,4.34,RU,1699663853
277,linxia chengguanzhen,35.6003,103.2064,1.68,49,24,1.21,CN,1699663853
278,malango,-2.9627,119.9001,22.38,88,95,0.45,ID,1699663853
279,la ronge,55.1001,-105.2842,0.14,86,20,5.14,CA,1699663784
280,enriquillo,17.9,-71.2333,26.82,86,52,6.78,DO,1699663854
281,port lincoln,-34.7333,135.8667,16.64,58,68,8.09,AU,1699663854
282,sanctuary point,-35.1114,150.629,27.21,53,14,6.8,AU,1699663854
283,prado,-17.3411,-39.2208,24.85,85,12,5.24,BR,1699663854
284,nishifukuma,33.7667,130.4667,16.27,58,100,3.22,JP,1699663854
285,aasiaat,68.7098,-52.8699,-9.81,94,97,2.75,GL,1699663854
286,kourou,5.1552,-52.6478,27.01,84,10,4.62,GF,1699663854
287,trairi,-3.2778,-39.2689,26.32,78,14,6.33,BR,1699663690
288,fort-shevchenko,44.5086,50.263,10.65,63,5,6.17,KZ,1699663854
289,mount pearl,47.5166,-52.7813,2.86,89,100,7.72,CA,1699663855
290,rengasdengklok,-6.1592,107.2981,27.07,64,90,2.48,ID,1699663855
291,queenstown,-31.8976,26.8753,18.96,34,100,2.04,ZA,1699663855
292,neiafu,-18.65,-173.9833,25.38,94,100,3.09,TO,1699663855
293,anadyr,64.75,177.4833,-13.72,78,20,7.0,RU,1699663855
294,el tigre,8.8875,-64.2454,25.23,82,45,5.24,VE,1699663585
